"","numunitid","n","Description","prop"
"1",1,48205,"%",0.13
"2",65,844505,"1/1",2.33
"3",153,7336,"IU",0.02
"4",154,23230,"iu/L",0.06
"5",202,9942,"ml/min",0.03
"6",205,7642,"ml/min/1.73m*2",0.02
"7",218,211622,"mmol/L",0.58
"8",219,601677,"mmol/mmol",1.66
"9",223,168329,"mol/mol",0.46
"10",260,4530479,"ratio",12.49
"11",276,21232,"u/L",0.06
"12",288,24538,"units",0.07
"13",292,124251,"Unk UoM",0.34
"14",329,13390,"fraction",0.04
"15",405,154075,"UNKNOWN UNITS",0.42
"16",421,716349,".",1.97
"17",923,8978,"Unknown",0.02
"18",986,15603,"Not given",0.04
"19",1047,21281,"-",0.06
"20",1621,5681,"(knk u)",0.02
"21",2084,6504,"nil",0.02
"22",2287,6367,"UNKNOWN UN",0.02
"23",3028,11284,"total ratio",0.03
"24",NA,28643841,NA,78.95
