"","numunitid","n","Description","prop"
"1",210,124843322,"mm Hg",62.15
"2",212,1535545,"mm/Hg",0.76
"3",215,3530255,"mm[Hg]",1.76
"4",216,70398638,"mmHg",35.05
"5",1207,197946,"Systolic",0.1
"6",NA,320463,NA,0.16
